"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 27, 2025 12:18:20 AM PDT","24792137001","Order","111-0104071-6088226","MSUS-D33-2-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black XL","1","amazon.com","Standard Orders","Amazon","ELMHURST","IL","60126","MarketplaceFacilitator","21.99","1.87","0","0","0","0","0","0","0","0","-1.87","-3.74","-5.46","0","0","12.79"
"Oct 27, 2025 12:47:16 AM PDT","24792137001","FBA Customer Return Fee","112-4723792-0286623","X004138KLJ","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.27","0","0","-2.27"
"Oct 27, 2025 1:39:31 AM PDT","24792137001","Order","112-9289936-5938638","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","PASCO","WA","99301","MarketplaceFacilitator","14.95","1.33","0","0","0","0","0","0","0","0","-1.33","-0.75","-5.00","0","0","9.20"
"Oct 27, 2025 2:05:05 AM PDT","24792137001","Liquidations","31655133143551","X00413QL65","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","","Standard Orders","","","","","","0.58","0","0","0","0","0","0","0","0","0","0","0","0","-0.34","0","0.24"
"Oct 27, 2025 2:41:44 AM PDT","24792137001","FBA Customer Return Fee","113-4277992-7135463","X00413MYBL","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 27, 2025 3:04:21 AM PDT","24792137001","Order","111-9629439-6043429","MSUS-D33-6-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top White XL","1","amazon.com","Standard Orders","Amazon","HOBOKEN","NJ","07030","MarketplaceFacilitator","16.49","0","0","0","0","0","0","0","0","0","0","-1.65","-5.46","0","0","9.38"
"Oct 27, 2025 3:43:37 AM PDT","24792137001","Order","114-9588775-5284200","MSUS-D33-265-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Beige XL","1","amazon.com","Standard Orders","Amazon","VIRGINIA BEACH","VA","23455","MarketplaceFacilitator","27.29","1.64","0","0","0","0","0","0","0","0","-1.64","-4.64","-6.53","0","0","16.12"
"Oct 27, 2025 4:33:29 AM PDT","24792137001","FBA Customer Return Fee","114-0621609-2684226","X004138KXH","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 27, 2025 4:45:34 AM PDT","24792137001","FBA Customer Return Fee","112-8296635-9081817","X00413EC6L","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.27","0","0","-2.27"
"Oct 27, 2025 5:04:27 AM PDT","24792137001","Liquidations","31495238547551","X004138KLJ","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black S","1","","Standard Orders","","","","","","0.95","0","0","0","0","0","0","0","0","0","0","0","0","-0.49","0","0.46"
"Oct 27, 2025 5:20:41 AM PDT","24792137001","FBA Customer Return Fee","111-0107885-8825046","X00413JUVD","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 27, 2025 5:25:33 AM PDT","24792137001","FBA Customer Return Fee","114-1265793-8189045","X004138KQJ","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 27, 2025 5:42:38 AM PDT","24792137001","Liquidations","31875255703551","X00413QL0B","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black M","1","","Standard Orders","","","","","","0.34","0","0","0","0","0","0","0","0","0","0","0","0","-0.30","0","0.04"
"Oct 27, 2025 5:50:37 AM PDT","24792137001","Order","113-5554794-0489005","MSUS-D33-2-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black XL","1","amazon.com","Standard Orders","Amazon","WILMINGTON","DE","19808","","17.59","0","0","0","0","0","0","0","0","0","0","-1.76","-5.46","0","0","10.37"
