"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.10.2025 00:18:03 UTC","25624010702","Bestellung","302-5350665-5712324","MSEU-D71-5-2","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Beig","1","amazon.de","Amazon","Karlsruhe","","76229","MarketplaceFacilitator","12,85","2,44","0","0","0","0","0","0","-2,44","-2,29","-3,16","0","0","7,40"
"01.10.2025 00:19:36 UTC","25624010702","Erstattung","304-0452445-0944312","MSEU-D70-7-6","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Grömitz","","23743","MarketplaceFacilitator","-15,12","-2,87","0","0","0","0","0","0","2,87","2,16","0","0","0","-12,96"
"01.10.2025 00:24:49 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","306-1198819-9781158","X001O99QWR","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,39","0","0","-1,39"
"01.10.2025 00:49:18 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","304-8894120-1175537","X0027U7KEN","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"01.10.2025 01:04:46 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","302-5559019-7862767","X00278AL9B","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,55","0","0","-1,55"
"01.10.2025 02:43:08 UTC","25624010702","Erstattung","306-1198819-9781158","MSEU-D33-2-4","ANGOOL Damen Trägerloser BH Push Up ohne Bügel Bandeau Top Damen Gepolsterter Seamless Rutschfestes Silikon mit Transparenten Trägern, Schwarz, L","1","amazon.de","Amazon","Stammbach","","95236","MarketplaceFacilitator","-15,96","-3,03","0","0","0","0","0","0","3,03","2,28","0","0","0","-13,68"
"01.10.2025 02:51:34 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","306-1561016-3853166","X001C7JAOP","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,57","0","0","-1,57"
"01.10.2025 02:57:27 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","303-3533091-3358723","X0027UDI71","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"01.10.2025 05:16:28 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","028-2141674-4937949","X0019SBISD","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,57","0","0","-1,57"
"01.10.2025 05:39:05 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","303-4543092-5805905","X0029DJ76R","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,39","0","0","-1,39"
