"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"7 Dec 2025 14:16:37 UTC","25999281222","Order","026-4508769-5047559","MSUK-D70-6-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, White, M","1","amazon.co.uk","Amazon","MIRFIELD","","WF14 0","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 14:22:07 UTC","25999281222","Order","203-3040011-0935563","MS-D06-209-4","ANGOOL Women's Sports Bra Padded Mid Impact Racerback Comfy Yoga Workout Bra, Black+grey+wine Red, L Fit 36D 36DD 36E 38D 40B 40C","1","amazon.co.uk","Amazon","CLITHEROE","","BB7 9","MarketplaceFacilitator","14.07","2.82","0","0","0","0","0","0","-2.82","-2.53","-3.28","-0.12","0","8.14"
"7 Dec 2025 14:40:32 UTC","25999281222","Order_Retrocharge","026-3614404-0714740","","Base Tax","","Amazon.co.uk","","","","","","0","4.17","0","0","0","0","0","0","0","0","0","0","0","4.17"
"7 Dec 2025 14:40:32 UTC","25999281222","Order_Retrocharge","026-3614404-0714740","","Shipping Tax","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7 Dec 2025 14:40:32 UTC","25999281222","Order_Retrocharge","026-3614404-0714740","","MarketplaceFacilitator","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","-4.17","0","0","0","0","-4.17"
"7 Dec 2025 15:25:56 UTC","25999281222","Order","205-1021434-3617919","MSUK-D70-5-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, M","1","amazon.co.uk","Amazon","READING","","RG7 3","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 15:45:50 UTC","25999281222","Order","204-8432590-9421131","MSUK-D63-509-5","ANGOOL Seamless Removable Padded Sports Bra, Cross Back Yoga Fitness Workout Bra,Beige+Gray+Red,XL","1","amazon.co.uk","Amazon","Matlock","Derbyshire","DE4 3","MarketplaceFacilitator","13.12","2.62","0","0","0","0","0","0","-2.62","-2.36","-2.77","-0.11","0","7.88"
"7 Dec 2025 15:47:19 UTC","25999281222","Order","203-4560689-0430721","MS-D06-206-2","ANGOOL Women's Sports Bra Padded High Impact Racerback Comfy Yoga Workout Bra, S Fit 30BC 30D 32BC 32D 34BC, Black+gray+white","1","amazon.co.uk","Amazon","Leighterton","Gloucestershire","GL8 8","MarketplaceFacilitator","14.07","2.82","0","0","0","0","0","0","-2.82","-2.53","-3.25","-0.12","0","8.17"
"7 Dec 2025 16:17:58 UTC","25999281222","Order","203-2766776-2595552","MSUK-D70-2-6","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, White, XXL","1","amazon.co.uk","Amazon","CANNOCK","","WS12 2","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 16:18:43 UTC","25999281222","Order","202-9347370-8017918","MSUK-D70-2-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Black, L","1","amazon.co.uk","Amazon","RAINHAM","","ME8 7","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 16:29:46 UTC","25999281222","Order","206-3578397-4353134","MS-D22-7-3","ANGOOL Bandeau Bra Seamless Non Padded Strapless Bra Tube Style Stretch Basic Layer Soft Bralette, Brown, M Fit 32DD 36B 36C 38B 38C","1","amazon.co.uk","Amazon","Wallington","Surrey","SM6 8","MarketplaceFacilitator","7.99","1.60","0","0","0","0","0","0","-1.60","-0.77","-2.42","-0.07","0","4.73"
"7 Dec 2025 17:01:07 UTC","25999281222","Order","206-1983187-6806748","MSUK-D70-2-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Black, L","1","amazon.co.uk","Amazon","Erith","","DA8 2","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
"7 Dec 2025 17:21:27 UTC","25999281222","Refund","202-9347370-8017918","MSUK-D70-2-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Black, L","1","amazon.co.uk","Amazon","RAINHAM","","ME8 7","MarketplaceFacilitator","-11.07","-2.22","0","0","0","0","0","0","2.22","0.85","0","0.02","0","-10.20"
"7 Dec 2025 17:27:54 UTC","25999281222","Order","203-4495429-0293105","MSUK-D70-5-4","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, L","1","amazon.co.uk","Amazon","BRADFORD","","BD14 6","MarketplaceFacilitator","11.07","2.22","0","0","0","0","0","0","-2.22","-1.06","-3.00","-0.08","0","6.93"
