"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Aug 1, 2025 6:26:14 PM PDT","24179407211","Order","112-0973320-3625845","MSUS-D33-7-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe M","1","amazon.com","Standard Orders","Amazon","CORAOPOLIS","PA","15108","MarketplaceFacilitator","17.59","0","0","0","0","0","0","0","0","0","0","-1.76","-4.67","0","0","11.16"
"Aug 1, 2025 6:32:37 PM PDT","24179407211","Order","113-0371129-9876232","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","FANWOOD","NJ","07023","MarketplaceFacilitator","15.83","0","0","0","0","0","0","0","0","0","0","-1.58","-4.67","0","0","9.58"
"Aug 1, 2025 6:32:37 PM PDT","24179407211","Order","113-0371129-9876232","MSUS-D33-5-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige XL","1","amazon.com","Standard Orders","Amazon","FANWOOD","NJ","07023","MarketplaceFacilitator","15.83","0","0","0","0","0","0","0","0","0","0","-1.58","-5.90","0","0","8.35"
"Aug 1, 2025 6:36:31 PM PDT","24179407211","Refund","111-7180953-7829004","MSUS-D33-7-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe M","1","amazon.com","Standard Orders","Amazon","CHICAGO","IL","60611","MarketplaceFacilitator","-19.79","-2.03","-1.50","0","0","0","0","0","1.50","0","2.03","1.58","0","0","0","-18.21"
"Aug 1, 2025 6:41:52 PM PDT","24179407211","Order","112-7077876-4720264","MSUS-D33-267-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe M","1","amazon.com","Standard Orders","Amazon","VIRGINIA BEACH","VA","23453","MarketplaceFacilitator","31.19","0","0","0","0","0","0","0","0","0","0","-5.30","-5.90","0","0","19.99"
"Aug 1, 2025 6:46:00 PM PDT","24179407211","Refund","113-1525682-6931415","MSUS-D33-25-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+Beige L","1","amazon.com","Standard Orders","Amazon","LANCASTER","CA","93536","MarketplaceFacilitator","-31.49","-3.54","0","0","0","0","0","0","0","0","3.54","4.28","0","0","0","-27.21"
"Aug 1, 2025 6:49:42 PM PDT","24179407211","Order","114-9032426-5613863","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","BAY SHORE","NY","11706","MarketplaceFacilitator","15.83","0.75","0","0","0","0","0","0","0","0","-0.75","-1.58","-4.67","0","0","9.58"
"Aug 1, 2025 6:55:07 PM PDT","24179407211","Refund","113-5268782-5591445","MSUS-D33-5-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige S","1","amazon.com","Standard Orders","Amazon","ALBANY","NY","12205","MarketplaceFacilitator","-16.82","-0.67","0","0","0","0","0","0","0","0","0.67","1.34","0","0","0","-15.48"
"Aug 1, 2025 7:02:00 PM PDT","24179407211","Refund","111-9019066-8689044","MSUS-D33-267-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe 2XL","1","amazon.com","Standard Orders","Amazon","REDFORD","MI","48239","MarketplaceFacilitator","-31.19","-1.87","-2.99","0","0","0","0","0","2.99","0","1.87","4.24","0","0","0","-26.95"
"Aug 1, 2025 7:05:01 PM PDT","24179407211","Refund","114-3825367-4957849","MSUS-D33-2-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","amazon.com","Standard Orders","Amazon","BROOMFIELD","CO","80023","MarketplaceFacilitator","-17.59","-1.43","-1.50","0","0","0","0","0","1.50","0","1.43","1.41","0","0","0","-16.18"
"Aug 1, 2025 7:08:45 PM PDT","24179407211","Order","113-9132809-9677854","MSUS-D33-267-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe M","1","amazon.com","Standard Orders","Amazon","BOSTON","MA","02128","MarketplaceFacilitator","31.19","0","2.99","0","0","0","0","0","-2.99","0","0","-5.30","-5.90","0","0","19.99"
"Aug 1, 2025 7:26:44 PM PDT","24179407211","Order","112-1466145-2986651","MSUS-D33-267-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe M","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11226","MarketplaceFacilitator","31.19","0","0","0","0","0","0","0","0","0","0","-5.30","-5.90","0","0","19.99"
"Aug 1, 2025 7:27:14 PM PDT","24179407211","Order","113-2669683-3168254","MSUS-D33-5-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige XL","1","amazon.com","Standard Orders","Amazon","CLARKSTON","MI","48346","MarketplaceFacilitator","15.83","0.95","0.60","0","0","0","0","0","-0.60","0","-0.95","-1.58","-5.90","0","0","8.35"
"Aug 1, 2025 7:29:52 PM PDT","24179407211","Order","113-5463041-8573821","MSUS-D33-7-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe XL","1","amazon.com","Standard Orders","Amazon","NASHUA","NH","03062","","15.83","0","0","0","0","0","0","0","0","0","0","-1.58","-5.90","0","0","8.35"
"Aug 1, 2025 7:30:15 PM PDT","24179407211","Refund","114-4557994-6245060","MSUS-D33-2-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","amazon.com","Standard Orders","Amazon","DURHAM","NC","27713","MarketplaceFacilitator","-16.71","-1.25","0","0","0","0","0","0","0","0","1.25","1.34","0","0","0","-15.37"
"Aug 1, 2025 7:34:35 PM PDT","24179407211","FBA Customer Return Fee","113-9424039-9689843","X00413QKRP","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.62","0","0","-2.62"
"Aug 1, 2025 7:38:52 PM PDT","24179407211","Adjustment","113-1510835-7480267","MSUS-D33-5-5","FBA Inventory Reimbursement - Customer Return","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.35","12.35"
"Aug 1, 2025 7:41:43 PM PDT","24179407211","Refund","113-2156450-2273014","MSUS-D33-2-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black XL","1","amazon.com","Standard Orders","Amazon","ELIZABETH","NJ","07202","MarketplaceFacilitator","-19.79","0","0","0","0","0","0","0","0","0","0","1.58","0","0","0","-18.21"
"Aug 1, 2025 7:46:26 PM PDT","24179407211","Order","113-5748247-3525038","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","Avon","Indiana","46123","MarketplaceFacilitator","15.83","1.11","0","0","0","0","0","0","0","0","-1.11","-1.58","-4.67","0","0","9.58"
"Aug 1, 2025 7:47:50 PM PDT","24179407211","Order","114-1355932-1430619","MSUS-D33-6-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top White L","1","amazon.com","Standard Orders","Amazon","Blue Springs","MO","64015","MarketplaceFacilitator","15.83","0","0","0","0","0","0","0","0","0","0","-1.58","-4.67","0","0","9.58"
"Aug 1, 2025 7:49:19 PM PDT","24179407211","Order","111-0561769-7785819","MSUS-D33-5-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige XL","1","amazon.com","Standard Orders","Amazon","NEW PALESTINE","IN","46163","MarketplaceFacilitator","15.83","1.11","0","0","0","0","0","0","0","0","-1.11","-1.58","-5.90","0","0","8.35"
"Aug 1, 2025 7:54:20 PM PDT","24179407211","Order","113-3613186-3636237","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","CANFIELD","OH","44406","MarketplaceFacilitator","15.83","0","0","0","0","0","0","0","0","0","0","-1.58","-4.67","0","0","9.58"
