"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.06.2025 22:16:48 UTC","25003038762","Bestellung","305-1891600-4801907","MSEU-D70-2-2","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Horb am Neckar","","72160","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:16:48 UTC","25003038762","Bestellung","303-4386735-1336357","MS-D06-2-2","ANGOOL Sport BH,Klassische Frauen Büstenhalter Ohne Bügel Ringerrücken Sports Bras Fuer Yoga Fitness Training","1","amazon.de","Amazon","Vilshofen a. d. Donau","","94474","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-1,20","-3,16","0","0","8,24"
"30.06.2025 22:18:25 UTC","25003038762","Erstattung","304-5902972-2323519","MSEU-D70-5-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Bonn","","53175","MarketplaceFacilitator","-12,85","-2,44","0","0","0","0","0","0","2,44","1,83","0","0","0","-11,02"
"30.06.2025 22:18:29 UTC","25003038762","Bestellung","302-6364266-4141109","MSEU-D70-6-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Achim","","28832","MarketplaceFacilitator","13,61","2,58","1,39","0,27","0","0","-1,39","-0,27","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:18:35 UTC","25003038762","Bestellung","306-6669625-6945133","MSEU-D63-209-2","ANGOOL Sport BH Damen ohne Bügel Push Up BH Starker Halt Sport Bustier Damen Gepolstert Crossback Seamless Yoga Joggen Gym Sports Bra, Schwarz+Grau+W","1","amazon.de","Amazon","Dinslaken","","46539","MarketplaceFacilitator","22,68","4,31","1,67","0,32","0","0","-1,36","-0,26","-4,37","-3,81","-5,35","0","0","13,83"
"30.06.2025 22:19:34 UTC","25003038762","Bestellung","303-8377890-0228315","MSEU-D71-5-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Beig","1","amazon.de","Amazon","Tespe","Niedersachsen","21395","MarketplaceFacilitator","15,12","2,87","0","0","0","0","-1,51","-0,29","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:20:39 UTC","25003038762","Bestellung","304-1989893-1047553","MSEU1-D25-206-3","ANGOOL Sport BH Damen Einstellbarer Schultergurt Sport Bustier Damen Gepolstert Starker Halt Nahtlose Joggen Yoga Fitness Bra, 3er Pack, Schwarz + gra","1","amazon.de","Amazon","Oelde","Nordrhein Westfalen","59302","MarketplaceFacilitator","24,36","4,63","0","0","0","0","0","0","-4,63","-4,35","-3,33","0","0","16,68"
"30.06.2025 22:21:18 UTC","25003038762","Bestellung","304-8682209-5523565","MSEU-D71-5-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Beig","1","amazon.de","Amazon","Marchtrenk","Oberösterreich","4614","MarketplaceFacilitator","15,12","3,02","0","0","0","0","-1,51","-0,30","-2,72","-2,45","-3,16","0","0","8,00"
"30.06.2025 22:21:43 UTC","25003038762","Bestellung","304-1831134-5139550","MSEU-D70-5-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Crailsheim","","74564","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-3,16","0","0","9,26"
"30.06.2025 22:21:44 UTC","25003038762","Bestellung","304-5885360-7235501","MSEU-D33-25-3","ANGOOL Damen Trägerloser BH Push Up ohne Bügel Bandeau Top Damen Gepolsterter Seamless Rutschfestes Silikon mit Transparenten Trägern, Schwarz+Beig","1","amazon.de","Amazon","Duderstadt","Niedersachsen","37115","MarketplaceFacilitator","18,56","3,53","0","0","0","0","-2,78","-0,53","-3,00","-2,82","-3,09","0","0","9,87"
"30.06.2025 22:21:48 UTC","25003038762","Bestellung","028-5286355-2187518","MSEU-D75-206-4","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Schöningen","","38364","MarketplaceFacilitator","29,40","5,59","0","0","0","0","0","0","-5,59","-5,25","-3,54","0","0","20,61"
"30.06.2025 22:22:11 UTC","25003038762","Bestellung","028-3935884-4601163","MSEU-D47-2-3","ANGOOL Damen Trägerloser BH Push Up ohne Bügel Bandeau Top Damen Gepolsterter Seamless Ribbed Rutschfestes Silikon mit Transparenten Trägern, Schwa","1","amazon.de","Amazon","Bergisch Gladbach","","51467","MarketplaceFacilitator","15,96","3,03","0","0","0","0","-2,40","-0,45","-2,58","-2,42","-2,78","0","0","8,36"
"30.06.2025 22:22:25 UTC","25003038762","Bestellung","304-6418683-7759546","MSEU-D71-5-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Beig","1","amazon.de","Amazon","Saarbrücken","Saarland","66121","MarketplaceFacilitator","15,12","2,87","0","0","0","0","-1,51","-0,29","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:22:41 UTC","25003038762","Bestellung","304-5707304-2073109","MS-D06-206-2","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz + Grau + Weiß, S Fit 65B 65C 65D 70BC 70D 75BC","1","amazon.de","Amazon","Selters (taunus)","","65618","MarketplaceFacilitator","23,52","4,47","0,84","0,16","0","0","-0,84","-0,16","-4,47","-4,20","-3,61","0","0","15,71"
"30.06.2025 22:22:52 UTC","25003038762","Bestellung","303-7150729-6267519","MSEU1-D25-209-4","ANGOOL Sport BH Damen Einstellbarer Schultergurt Sport Bustier Damen Gepolstert Starker Halt Nahtlose Joggen Yoga Fitness Bra, 3er Pack, Schwarz + gra","1","amazon.de","Amazon","Neuss","","41470","MarketplaceFacilitator","24,36","4,63","1,12","0,21","0","0","-1,12","-0,21","-4,63","-4,35","-3,68","0","0","16,33"
"30.06.2025 22:23:06 UTC","25003038762","Bestellung","028-0112523-1906748","MSEU-D70-2-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Buch a.Wald","Bayern","91592","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-3,16","0","0","9,26"
"30.06.2025 22:23:30 UTC","25003038762","Bestellung","302-3668701-6186704","MS-D06-26-2","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, S Fit 65B 65C 65D 70BC 70D 75BC, Schwarz+weiß","1","amazon.de","Amazon","Frankfurt am Main","Hessen","60486","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","-3,30","-2,78","0","0","12,40"
"30.06.2025 22:25:30 UTC","25003038762","Gebühren für Kundenrücksendungen mit Versand durch Amazon","302-5683933-2189130","X0027C6317","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"30.06.2025 22:25:56 UTC","25003038762","Bestellung","303-1711533-7830733","MSEU-D70-5-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Wolfenbüttel","","38302","MarketplaceFacilitator","15,12","2,87","3,35","0,64","0","0","0","0","-3,51","-2,70","-6,51","0","0","9,26"
"30.06.2025 22:26:40 UTC","25003038762","Gebühren für Kundenrücksendungen mit Versand durch Amazon","302-5683933-2189130","X0027C2V3B","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"30.06.2025 22:27:54 UTC","25003038762","Bestellung","304-4932588-1074711","MSEU-D70-5-2","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Bochum","","44803","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-2,78","0","0","8,40"
"30.06.2025 22:29:46 UTC","25003038762","Erstattung","304-2483759-7573140","MSEU-D70-2-6","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Wien","","1120","MarketplaceFacilitator","-13,61","-2,72","0","0","0","0","0","0","2,72","1,94","0","0","0","-11,67"
"30.06.2025 22:31:09 UTC","25003038762","Bestellung","306-0384799-8506754","MSEU-D70-5-5","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Rosendahl","","48720","MarketplaceFacilitator","13,61","2,58","1,68","0,32","0","0","-1,68","-0,32","-2,58","-2,43","-3,09","0","0","8,09"
"30.06.2025 22:31:29 UTC","25003038762","Bestellung","028-1886785-4344312","MSEU-D75-2-4","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Schopfheim","","79650","MarketplaceFacilitator","15,96","3,03","0","0","0","0","0","0","-3,03","-2,85","-3,54","0","0","9,57"
"30.06.2025 22:32:21 UTC","25003038762","Bestellung","304-7903159-2005919","MSEU-D70-5-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Mannheim","Baden Württemberg","68167","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:32:38 UTC","25003038762","Bestellung","302-8626981-5585965","MSEU-D63-209-3","ANGOOL Sport BH Damen ohne Bügel Push Up BH Starker Halt Sport Bustier Damen Gepolstert Crossback Seamless Yoga Joggen Gym Sports Bra, Schwarz+Grau+W","1","amazon.de","Amazon","Berlin","","10319","MarketplaceFacilitator","22,68","4,31","0","0","0","0","0","0","-4,31","-4,05","-3,26","0","0","15,37"
"30.06.2025 22:34:41 UTC","25003038762","Bestellung","306-4909845-1749913","MSEU-D70-5-2","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Haren (Ems)","","49733","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-2,78","0","0","8,40"
"30.06.2025 22:35:57 UTC","25003038762","Bestellung","306-7139809-7349127","MSEU-D71-5-4","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Beig","1","amazon.de","Amazon","Königsbrunn","Bayern","86343","MarketplaceFacilitator","15,12","2,87","0","0","0","0","-1,51","-0,29","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:36:49 UTC","25003038762","Erstattung","306-1108071-3866719","MSEU-D70-6-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Pattensen","Niedersachsen","30982","MarketplaceFacilitator","-15,12","-2,87","0","0","0","0","0,76","0,14","2,73","2,05","0","0","0","-12,31"
"30.06.2025 22:37:00 UTC","25003038762","Bestellung","305-0408342-1329927","MSEU-D71-2-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Schw","1","amazon.de","Amazon","Brixen i. Th.","Tirol","6364","MarketplaceFacilitator","15,12","3,02","0","0","0","0","0","0","-3,02","-2,70","-3,16","0","0","9,26"
"30.06.2025 22:41:57 UTC","25003038762","Bestellung","302-1543142-1057938","MSEU-D75-268-2","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Frankenthal","","67227","MarketplaceFacilitator","29,40","5,59","0,55","0,11","0","0","-2,02","-0,39","-5,31","-4,99","-3,54","0","0","19,40"
"30.06.2025 22:43:34 UTC","25003038762","Bestellung","305-7284251-3481124","MS-D06-2-3","ANGOOL Sport BH,Klassische Frauen Büstenhalter Ohne Bügel Ringerrücken Sports Bras Fuer Yoga Fitness Training","1","amazon.de","Amazon","Orsingen-Nenzingen","Baden-Württemberg","78359","MarketplaceFacilitator","12,60","2,39","0","0","0","0","0","0","-2,39","-1,20","-3,08","0","0","8,32"
"30.06.2025 22:44:27 UTC","25003038762","Bestellung","304-3481937-0482716","MSEU-D70-6-4","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Poing","","85586","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:44:46 UTC","25003038762","Bestellung","305-9024557-7129161","MS-D06-234-3","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz+blau+rosa, M Fit 70DD 70E 75D 80BC 85BC","1","amazon.de","Amazon","Trier","","54292","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-3,61","0","0","15,71"
"30.06.2025 22:44:50 UTC","25003038762","Erstattung","303-4485542-4563521","MSEU-D75-2-3","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Hamburg","","22085","MarketplaceFacilitator","-15,96","-3,03","-0,83","-0,16","0","0","0,83","0,16","3,03","2,28","0","0","0","-13,68"
