"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 17, 2025 11:46:34 PM PDT","24685695611","Order","112-7250864-9373806","WNUS-D33-5-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige M","1","amazon.com","Amazon","West Chester","Pa","19382","MarketplaceFacilitator","16.32","0","0","0","0","0","0","0","0","0","0","-1.63","-4.67","0","0","10.02"
"Oct 17, 2025 11:46:51 PM PDT","24685695611","Liquidations","30487028549551","X003AM0ZHJ","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige M","1","","","","","","","0.41","0","0","0","0","0","0","0","0","0","0","0","0","-0.31","0","0.10"
"Oct 18, 2025 12:02:02 AM PDT","24685695611","Order","111-5628972-3348245","WNUS-D73-6-4","Lusait Sports Bras for Women Medium Support Thin Straps Sexy Criss-Cross Yoga Bra Gym Crop Top for Workout White L","1","amazon.com","Amazon","STOCKTON","CA","95209","MarketplaceFacilitator","13.99","0.63","0","0","0","0","0","0","-7.00","0","-0.63","-0.35","-4.67","0","0","1.97"
"Oct 18, 2025 12:02:44 AM PDT","24685695611","Order","113-6759138-4996245","WNUS-D77-7-4","Lusait Lace Bralettes for Women Full Coverage Sexy No Underwire Deep V Racerback Bra Comfort Padded Bras Brown L","1","amazon.com","Amazon","AGOURA HILLS","CA","91301","MarketplaceFacilitator","26.00","2.54","0","0","0","0","0","0","0","0","-2.54","-4.42","-5.12","0","0","16.46"
"Oct 18, 2025 12:15:37 AM PDT","24685695611","Order","113-1534191-6337805","WNUS-D33-6-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette White M","1","amazon.com","Amazon","AUSTIN","TX","78724","MarketplaceFacilitator","16.32","1.35","0","0","0","0","0","0","0","0","-1.35","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 12:16:27 AM PDT","24685695611","FBA Customer Return Fee","114-4284630-3354601","X004H32PM3","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.62","0","0","-2.62"
"Oct 18, 2025 12:24:50 AM PDT","24685695611","Order","112-9799645-9970648","WNUS-D33-5-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige M","1","amazon.com","Amazon","EBENSBURG","PA","15931","MarketplaceFacilitator","16.32","0","0","0","0","0","0","0","0","0","0","-1.63","-4.67","0","0","10.02"
"Oct 18, 2025 12:25:26 AM PDT","24685695611","Refund","113-7758155-4953808","WNUS-D33-2-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black XL","1","amazon.com","Amazon","GLEN COVE","NY","11542","MarketplaceFacilitator","-16.32","-0.75","0","0","0","0","0","0","0","0","0.75","1.30","0","0","0","-15.02"
"Oct 18, 2025 12:28:32 AM PDT","24685695611","Order","114-6586969-3481800","WNUS-D77-7-3","Lusait Lace Bralettes for Women Full Coverage Sexy No Underwire Deep V Racerback Bra Comfort Padded Bras Brown M","1","amazon.com","Amazon","FALL CREEK","OR","97438","","26.00","0","1.47","0","0","0","0","0","-1.47","0","0","-4.42","-5.12","0","0","16.46"
"Oct 18, 2025 12:31:07 AM PDT","24685695611","Order","114-8135609-4361013","WNUS-D33-25-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Black+Beige 2Pack XL","1","amazon.com","Amazon","KANEOHE","HI","96744","MarketplaceFacilitator","25.55","1.20","0","0","0","0","0","0","0","0","-1.20","-4.34","-5.90","0","0","15.31"
