"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 2, 2025 6:35:15 a.m. PDT","23897088291","Order","702-9557407-9785020","WNCA-D33-5-6","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Beige 2XL","1","amazon.ca","Amazon","Belle River","Ontario","N0R 1A","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","-0.04","0","11.22"
"Jul 2, 2025 12:29:38 p.m. PDT","23897088291","Fulfilment by Amazon customer return fee","701-4868013-1533000","X003R2BVSJ","FBA Customer Return Per Unit Fee (Clothing & Shoes)","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4.92","0","0","-4.92"
"Jul 2, 2025 5:40:36 p.m. PDT","23897088291","Refund","702-0419297-7607436","WNCA-D33-6-2","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra White S","1","amazon.ca","Amazon","QUYON","QC","J0X2V","Combined TCS+MTC","-19.99","-2.99","0","0","0","0","0","0","0","0","2.99","1.60","0","0.04","0","-18.35"
"Jul 2, 2025 5:40:36 p.m. PDT","23897088291","Refund","702-0419297-7607436","WNCA-D33-6-5","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra White XL","1","amazon.ca","Amazon","QUYON","QC","J0X2V","Combined TCS+MTC","-19.99","-2.99","0","0","0","0","0","0","0","0","2.99","1.60","0","0.04","0","-18.35"
"Jul 2, 2025 6:14:03 p.m. PDT","23897088291","Refund","702-8604122-8109832","WNCA-D33-22-4","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black+Black L","1","amazon.ca","Amazon","Donnacona","Quebec","G3M 1R","Combined TCS+MTC","-19.99","-2.99","0","0","0","0","0","0","0","0","2.99","1.60","0","0.04","0","-18.35"
"Jul 3, 2025 12:03:01 a.m. PDT","23897088291","Order","702-7638118-8005032","WNCA-D33-6-5","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra White XL","1","amazon.ca","Amazon","Toronto","Ontario","M4M 3E","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","-0.04","0","11.22"
"Jul 3, 2025 12:29:38 a.m. PDT","23897088291","Order","701-0441818-6822602","WNCA-D33-5-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Beige M","1","amazon.ca","Amazon","Vancouver","British Columbia","V6E 1V","Combined TCS+MTC","19.99","2.40","0","0","0","0","0","0","0","0","-2.40","-2.00","-7.20","-0.04","0","10.75"
"Jul 3, 2025 4:06:14 a.m. PDT","23897088291","Order","702-2197250-8525818","WNCA-D33-2-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black M","1","amazon.ca","Amazon","Innisfil","Ontario","L9S 1E","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","-0.04","0","11.22"
"Jul 3, 2025 4:42:21 a.m. PDT","23897088291","Order","702-3762067-6613856","WNCA-D33-5-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Beige M","1","amazon.ca","Amazon","Edmonton","Alberta","T6R 0L","Combined TCS+MTC","19.99","1.00","0","0","0","0","0","0","0","0","-1.00","-2.00","-6.73","-0.04","0","11.22"
"Jul 3, 2025 5:39:47 a.m. PDT","23897088291","Order","702-6189169-9741847","WNCA-D33-5-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Beige M","1","amazon.ca","Amazon","Richmond","British Columbia","V6V 3C","Combined TCS+MTC","19.99","2.40","0","0","0","0","0","0","0","0","-2.40","-2.00","-7.20","-0.04","0","10.75"
"Jul 3, 2025 6:30:34 a.m. PDT","23897088291","Order","702-8322408-0513812","WNCA-D33-6-5","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra White XL","1","amazon.ca","Amazon","Beamsville","Ontario","L3J 0G","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","-0.04","0","11.22"
"Jul 3, 2025 6:53:40 a.m. PDT","23897088291","Refund","702-3762067-6613856","WNCA-D33-5-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Beige M","1","amazon.ca","Amazon","Edmonton","Alberta","T6R 0L","Combined TCS+MTC","-19.99","-1.00","0","0","0","0","0","0","0","0","1.00","1.60","0","0.04","0","-18.35"
"Jul 3, 2025 7:51:19 a.m. PDT","23897088291","Order","701-2630323-8337868","WNCA-D33-5-6","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Beige 2XL","1","amazon.ca","Amazon","St Catharines","Ontario","L2T 3W","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","-0.04","0","11.22"
